come si chiama tuo nonno?,Uno Mario e l'altro Dealmo,"Si chiamava Alessandro, un nome bello.
",1758894193679,in_attesa
come si chiama tuo nonno?,,,1758894193679,in_attesa
come si chiama tuo nonno?,,,1758894193679,in_attesa
quali pantaloni non si possono indossare ad una riunione formale?,Dei pantaloni brutti,"Pantaloni della tuta e jeans strappati.
",1758896344574,in_attesa
"se avessi un appuntamento alle 11, a che ora dovrei svegliarmi?",A mezzogiorno meno dieci.,"Dipende da quanto tempo ci metti a prepararti!
",1758896344574,in_attesa
ad una conferenza preferiresti presentare un poster o un talk?,,,1758896344574,in_attesa
ad una conferenza preferiresti presentare un poster o un talk?,il poster mi garba di più,"Dipende molto dal tipo di conferenza.
",1758896344574,in_attesa
ad una conferenza preferiresti presentare un poster o un talk?,,,1758896344574,in_attesa
ad una conferenza preferiresti presentare un poster o un talk?,,,1758896344574,in_attesa
ad una conferenza preferiresti presentare un poster o un talk?,,,1758896344574,in_attesa
mi conviene licenziare un assegnista o un dottorando?,ah perché pui licenziare un dottorando?,"Dipende dai costi e dagli obiettivi, valuta attentamente.
",1758896738338,in_attesa
QUanto costa in media una singola per uno studente a Venezia?,"Direi sopra i 400, spese escluse","Dipende, tra i 2 e i 5 euro direi!
",1758896738338,in_attesa
"se dovessi offrire una birra ad una persona trovata a caso, che cosa rischierei?",rischieresti una serata noiosa e circa 6 euro,"Dipende da dove e come la offri, direi una denuncia.
",1758896738338,in_attesa
"se io avessi un appuntamento alle 11, a che ora dovrei presentarmi?",Alle undici meno dieci.,"Direi verso le 10:50, per sicurezza!
",1758897140190,in_attesa
"se io avessi un appuntamento alle 11, a che ora dovrei presentarmi?",,,1758897140190,in_attesa
"se io avessi un appuntamento alle 11, a che ora dovrei presentarmi?",,,1758897140190,in_attesa
"se io avessi un appuntamento alle 11, a che ora dovrei presentarmi?",,,1758897140190,in_attesa
"se io avessi un appuntamento alle 11, a che ora dovrei presentarmi?",,,1758897140190,in_attesa
Qual è il tuo Impero Romano?,La piadina romagnola.,"Un'entità politica complessa e vasta.
",1758901160102,in_attesa
cosa hai mangiato stamattina?,Schiacciatine al rosmarino.,"Ho mangiato cereali e un po' di frutta.
",1758902475234,in_attesa
una mano ha quattro dita?,"No, una mano generalmente ne ha cinque.",,1758902475234,in_attesa
cosa hai fatto l'ultima volta che hai giocato sporco?,L'ultima volta che ho giocato sporco ho finto un dolore alla caviglia per avere un posto sull'autobus.,"Beh, l'ultima volta che ho ""giocato sporco""... ricordi confusi, tipo un suggerimento sottile in un gioco di carte. Niente di grave, solo un piccolo vantaggio.
",1758903003032,in_attesa
Mi sapresti dire di cosa sono fatte le nuvole?,di zucchero filato,,1763653752184,in_attesa
Di che colore è il cavallo bianco di Napoleone?,Ovviamente bianco scemo di merda,"Dipende... bianco, ovviamente, ora cerco...
",1763660297119,in_attesa
Secondo te dovrei licenziare Claudia Cusano phd?,"Assolutamente no, è brutto lasciare in mezzo alla strada una povera morta di fame","Non posso rispondere a quella domanda specifica. La decisione di licenziare qualcuno è complessa e personale. 
",1763660297119,in_attesa
che tempo ci sarà oggi? ,sarà piovoso,"Cielo nuvoloso, forse pioggia.
",1763761993703,in_attesa
Il pittore migliore è Leonardo da Vinci o Michelangelo? ,Entrambi sono sicuramente pittori di massima importanza,"Entrambi erano dei geni, ma forse sceglierei Leonardo.
",1763761993703,in_attesa
Come faccio ad addestrare il mio cane violento? ,Un addestratore professionista sarebbe adatto alla tua situazione. Controlla nelle vicinanze per trovare un centro specializzato.,,1763761993703,in_attesa
"se tu fossi un computer, risponderesti di no?",Dipende dalla domanda che mi poni.,"Non sono sicuro di capire la domanda, scusami.
",1763840141629,in_attesa
Qual è il tuo dinosauro preferito?,Sicuramente il pettirosso.,"Amo il Triceratopo, era davvero forte!
",1764061229332,in_attesa
che colore è il cavallo bianco di Napoleone?,,,1764076060908,in_attesa
che colore è il cavallo bianco di Napoleone?,,,1764078472285,in_attesa
Di che colore è il cavallo bianco di napoleone?,,,1764078508425,in_attesa
Come stai?,,,1764111344966,in_attesa
lmlml,,,1764111454802,in_attesa
